0.081934 2
0.086789 2
0.046644 2
0.06793 2
0.063479 2
0.077442 2
0.064063 2
0.088115 2
0.064804 2
0.087978 2
0.066992 4
0.074974 4
0.093108 4
0.071161 4
0.050899 4
0.046016 4
0.061363 4
0.066926 4
0.058072 4
0.042692 4
0.087784 8
0.068215 8
0.080627 8
0.086985 8
0.078 8
0.058195 8
0.066045 8
0.092385 8
0.093372 8
0.064518 8
0.108816 16
0.083718 16
0.091495 16
0.056187 16
0.089511 16
0.103799 16
0.085697 16
0.08982 16
0.084773 16
0.082463 16
0.075064 32
0.08795 32
0.068389 32
0.0798 32
0.068876 32
0.099828 32
0.058273 32
0.044934 32
0.041933 32
0.080562 32
0.053638 64
0.074734 64
0.085915 64
0.067181 64
0.097307 64
0.098812 64
0.065179 64
0.09164 64
0.083882 64
0.062927 64
0.091033 128
0.108525 128
0.097558 128
0.112208 128
0.090019 128
0.110692 128
0.086296 128
0.098418 128
0.111439 128
0.126028 128
0.162097 256
0.214315 256
0.160727 256
0.137585 256
0.154615 256
0.162535 256
0.144829 256
0.154921 256
0.179047 256
0.154866 256
0.442289 512
0.383958 512
0.454014 512
0.385008 512
0.414806 512
0.569181 512
0.40196 512
0.392168 512
0.381763 512
0.405117 512
1.26951 1024
1.25021 1024
1.43922 1024
1.29323 1024
1.29904 1024
1.31274 1024
1.27931 1024
1.28055 1024
1.29358 1024
1.45571 1024
4.65492 2048
4.79341 2048
4.87331 2048
4.9567 2048
4.83028 2048
5.02528 2048
4.65207 2048
4.90408 2048
4.65672 2048
4.68484 2048
34.2574 4096
18.1412 4096
18.0917 4096
18.3939 4096
18.17 4096
18.2723 4096
18.1933 4096
18.385 4096
18.7454 4096
18.1495 4096
